SID,Test_date,Metrics,Temp_1,Temp_2,Temp_3,DO_1,DO_2,DO_3,sat_1,sat_2,sat_3
S13R,8/30/2021,lm_slope,4.70E-05,4.20E-05,4.90E-05,4.10E-06,1.40E-06,3.40E-07,0.00013,9.60E-05,0.00011
S13R,8/30/2021,R_square,0.89,0.88,0.95,0.33,0.13,0.0076,0.96,0.94,0.93
S13R,8/30/2021,RMSE,0.0323,0.0296,0.0222,0.0113,0.00714,0.0075,0.0538,0.0468,0.0557
S13R,8/30/2021,Mean,11.3,11.3,11.3,9.55,9.44,9.91,87.2,86.2,90.5
S13R,8/30/2021,Range,0.323,0.287,0.341,0.088,0.045,0.042,1.03,0.71,0.87
S14,8/30/2021,lm_slope,0.00022,0.00021,0.00022,-1.90E-06,-2.50E-06,-8.10E-06,4.00E-04,0.00039,0.00035
S14,8/30/2021,R_square,0.99,0.99,0.99,0.17,0.26,0.82,0.98,0.98,0.98
S14,8/30/2021,RMSE,0.0345,0.0385,0.0347,0.008,0.00796,0.0074,0.1,0.0961,0.0933
S14,8/30/2021,Mean,14.8,14.8,14.9,9.06,8.96,9.35,89.5,88.6,92.5
S14,8/30/2021,Range,1.32,1.27,1.29,0.044,0.047,0.073,2.41,2.28,2.11
S15,9/1/2021,lm_slope,9.60E-05,1.00E-04,0.00011,1.40E-06,2.10E-07,-1.10E-06,0.00022,0.00022,0.00022
S15,9/1/2021,R_square,0.93,0.96,0.97,0.069,0.0023,0.062,0.97,0.97,0.97
S15,9/1/2021,RMSE,0.0496,0.0391,0.0345,0.0102,0.00849,0.00816,0.0769,0.0713,0.0798
S15,9/1/2021,Mean,9.3,9.3,9.29,10.3,10.2,10.5,89.4,88.9,91.3
S15,9/1/2021,Range,0.61,0.674,0.693,0.065,0.041,0.04,1.59,1.53,1.57
S17R,8/31/2021,lm_slope,4.30E-05,4.40E-05,4.10E-05,9.80E-07,-4.50E-07,-8.00E-07,9.10E-05,8.00E-05,7.30E-05
S17R,8/31/2021,R_square,0.97,0.98,0.97,0.085,0.023,0.058,0.9,0.92,0.83
S17R,8/31/2021,RMSE,0.014,0.0125,0.0135,0.00619,0.0056,0.00615,0.0585,0.0458,0.0631
S17R,8/31/2021,Mean,13.9,14,14,8.94,8.89,9.18,86.7,86.2,88.9
S17R,8/31/2021,Range,0.312,0.338,0.313,0.036,0.027,0.036,0.708,0.633,0.581
S18R,8/31/2021,lm_slope,-6.70E-06,-3.90E-06,-8.80E-06,-2.50E-07,-1.10E-06,-1.80E-06,-1.60E-05,-1.80E-05,-3.50E-05
S18R,8/31/2021,R_square,0.087,0.032,0.17,0.0055,0.11,0.25,0.079,0.12,0.39
S18R,8/31/2021,RMSE,0.0417,0.0409,0.0371,0.00654,0.00617,0.00606,0.103,0.0938,0.0852
S18R,8/31/2021,Mean,12.3,12.3,12.3,9.47,9.4,9.72,88.5,87.9,90.8
S18R,8/31/2021,Range,0.15,0.142,0.151,0.03,0.033,0.039,0.428,0.404,0.46
S19,8/30/2021,lm_slope,0.00017,0.00016,0.00016,-3.30E-06,-1.00E-06,-5.40E-07,0.00031,0.00031,3.00E-04
S19,8/30/2021,R_square,0.98,0.96,0.95,0.44,0.063,0.019,0.98,0.98,0.97
S19,8/30/2021,RMSE,0.0525,0.0611,0.0677,0.00721,0.00746,0.00746,0.0914,0.0912,0.1
S19,8/30/2021,Mean,14.6,14.6,14.6,9.2,9.23,9.28,90.5,90.7,91.3
S19,8/30/2021,Range,1.07,0.991,0.966,0.045,0.037,0.04,1.96,2,1.98
S19E,8/30/2021,lm_slope,-9.80E-05,-8.60E-05,-7.60E-05,-9.10E-07,-1.00E-06,-3.00E-07,-0.00018,-0.00017,-0.00014
S19E,8/30/2021,R_square,0.9,0.84,0.77,0.067,0.077,0.014,0.92,0.89,0.78
S19E,8/30/2021,RMSE,0.0604,0.0703,0.0772,0.00634,0.00651,0.00465,0.0986,0.11,0.138
S19E,8/30/2021,Mean,18.5,18.6,18.5,8.25,8.26,8.32,88.1,88.3,88.9
S19E,8/30/2021,Range,0.657,0.614,0.58,0.029,0.035,0.024,1.28,1.21,1.02
S20R,9/2/2021,lm_slope,7.20E-05,7.10E-05,7.20E-05,-4.20E-06,-3.40E-06,-5.60E-06,9.40E-05,9.90E-05,8.00E-05
S20R,9/2/2021,R_square,0.97,0.98,0.98,0.69,0.6,0.78,0.9,0.9,0.84
S20R,9/2/2021,RMSE,0.0249,0.0208,0.0177,0.00542,0.00534,0.00562,0.0605,0.0629,0.0663
S20R,9/2/2021,Mean,17.7,17.7,17.7,8.8,8.74,8.95,92.4,91.8,94
S20R,9/2/2021,Range,0.49,0.489,0.481,0.047,0.041,0.054,0.698,0.716,0.649
S21R,9/2/2021,lm_slope,1.00E-04,1.00E-04,0.00011,1.70E-06,2.70E-06,-5.40E-08,0.00021,0.00022,0.00021
S21R,9/2/2021,R_square,0.95,0.96,0.95,0.24,0.5,0.00024,0.96,0.96,0.93
S21R,9/2/2021,RMSE,0.0448,0.0395,0.0449,0.0057,0.00522,0.00678,0.0829,0.082,0.111
S21R,9/2/2021,Mean,13.8,13.8,13.8,8.87,8.8,9.03,85.7,85.1,87.3
S21R,9/2/2021,Range,0.713,0.721,0.739,0.033,0.035,0.034,1.49,1.42,1.4
S23,8/31/2021,lm_slope,-1.50E-05,-1.60E-05,-2.30E-05,-3.10E-06,-3.00E-06,-2.50E-06,-5.90E-05,-6.10E-05,-7.00E-05
S23,8/31/2021,R_square,0.24,0.29,0.47,0.42,0.45,0.37,0.64,0.66,0.69
S23,8/31/2021,RMSE,0.0502,0.0475,0.0462,0.00686,0.00641,0.00643,0.0865,0.0837,0.0899
