"","SID","DO.slope.mgday.mean","stream_order","T_1","SID.1","T_1.1","SID.2","DO.slope.mgday.max","SID.3","DO.slope.mgday.min","y"
"1","S13R",0.00432,4,11.3,"S13R",11.3,"S13R",0.00432,"S13R",0.00432,"SID"
"2","S14",-0.007848,4,14.9,"S14",14.9,"S14",-0.003744,"S14",-0.011952,"SID"
"3","S18R",-0.00288,5,12.3,"S18R",12.3,"S18R",-0.00288,"S18R",-0.00288,"SID"
"4","S19",-0.004896,3,14.6,"S19",14.6,"S19",-0.004896,"S19",-0.004896,"SID"
"5","S20R",-0.006192,5,17.7,"S20R",17.7,"S20R",-0.004896,"S20R",-0.008064,"SID"
"6","S21R",0.003312,5,13.8,"S21R",13.8,"S21R",0.004032,"S21R",0.002592,"SID"
"7","S23",-0.003744,6,18.1,"S23",18.1,"S23",-0.003456,"S23",-0.003888,"SID"
"8","S25",-0.010656,3,16.8,"S25",16.8,"S25",-0.004032,"S25",-0.01728,"SID"
"9","S26R",0.004464,5,13.4,"S26R",13.4,"S26R",0.004464,"S26R",0.004464,"SID"
"10","S27R",0.004464,2,8.41,"S27R",8.41,"S27R",0.004464,"S27R",0.004464,"SID"
"11","S28R",-0.01032,4,11.5,"S28R",11.5,"S28R",-0.007488,"S28R",-0.013248,"SID"
"12","S28RE",-0.01488,4,16.6,"S28RE",16.6,"S28RE",-0.0144,"S28RE",-0.01584,"SID"
"13","S30R",-0.0408,4,18.1,"S30R",18.1,"S30R",-0.02592,"S30R",-0.06048,"SID"
"14","S31",-0.012,4,14.7,"S31",14.7,"S31",-0.005904,"S31",-0.01584,"SID"
"15","S32",-0.007632,5,14.8,"S32",14.8,"S32",-0.007632,"S32",-0.007632,"SID"
"16","S36",-0.11088,5,17.2,"S36",17.2,"S36",-0.10512,"S36",-0.11808,"SID"
"17","S38",0.02592,2,13.6,"S38",13.6,"S38",0.03744,"S38",0.0144,"SID"
"18","S39",-0.02304,2,13.2,"S39",13.2,"S39",-0.02304,"S39",-0.02304,"SID"
"19","S49R",-0.009744,5,14.5,"S49R",14.5,"S49R",-0.007056,"S49R",-0.013104,"SID"
"20","S50",0.00504,6,17.4,"S50",17.4,"S50",0.009216,"S50",0.002592,"SID"
"21","S51",-0.006048,5,13.1,"S51",13.1,"S51",-0.004752,"S51",-0.006768,"SID"
"22","S55",-0.01968,4,16.6,"S55",16.6,"S55",-0.01872,"S55",-0.0216,"SID"
"23","S56",-0.01296,4,12.2,"S56",12.2,"S56",-0.01152,"S56",-0.0144,"SID"
"24","S63",-0.014832,4,12.3,"S63",12.3,"S63",-0.008064,"S63",-0.02448,"SID"
"25","S67",-0.04512,6,18.1,"S67",18.1,"S67",-0.03024,"S67",-0.05328,"SID"
"26","S68",-0.03264,6,19.7,"S68",19.7,"S68",-0.0216,"S68",-0.04752,"SID"
"27","S71",-0.006336,4,10.6,"S71",10.6,"S71",-0.004608,"S71",-0.007776,"SID"
"28","S72",-0.012816,4,14.2,"S72",14.2,"S72",-0.012096,"S72",-0.01368,"SID"
"29","S73",-0.014496,6,16.8,"S73",16.8,"S73",-0.010368,"S73",-0.01728,"SID"
"30","S75",-0.01344,4,16,"S75",16,"S75",-0.011232,"S75",-0.01584,"SID"
"31","S77",-0.03264,4,14.6,"S77",14.6,"S77",-0.01728,"S77",-0.05616,"SID"
"32","S79",-0.011952,6,16,"S79",16,"S79",-0.0108,"S79",-0.013104,"SID"
"33","S82",-0.017808,4,15.4,"S82",15.4,"S82",-0.008784,"S82",-0.02448,"SID"
"34","S83",0.008208,3,13,"S83",13,"S83",0.008928,"S83",0.007488,"SID"
